judul,penyanyi,tahun_rilis,label,genre,lirik,link
JanjiMu S'perti Fajar,Nikita,2014,Maranatha Indonesia,Pujian dan Penyembahan,ketika ku hadapi kehidupan ini jalan mana yang harus ku pilih ku tahu ku tak mampu ku tahu ku tak sanggup hanya Kau Tuhan tempat jawabanku akupun tahu ku tak pernah sendiri s'bab Engkau Allah yang menggendongku tanganMu membelaiku cintaMu memuaskanku Kau mengangkatku ke tempat yang tinggi janjiMu s'perti fajar pagi hari yang tiada pernah terlambat bersinar cintaMu s'perti sungai yang mengalir dan ku tahu betapa dalam kasihMu,https://www.youtube.com/watch?v=m2GUf3i0R0g&ab_channel=MaranathaindonesiaOfficial 
Sungguh Lembut Tuhan Yesus Memanggil,Gloria Trio,2013,Maranatha Indonesia,Hymne,"Sungguh lembut Tuhan Yesus memanggil Memanggil aku dan kau Lihatlah Dia prihatin menunggu Menunggu aku dan kau Hai mari datanglah, kau yang lelah, mari datanglah Sungguh lembut Tuhan Yesus memanggil kau yang sesat marilah Janganlah ragu, Tuhanmu mengajak Mengajak aku dan kau. Jangan enggan menerima kasihNya Terhadap aku dan kau. Yesus berjanji memberikan kasihNya kepada aku dan kau Dia mengampuni orang berdosa seperti aku dan kau",https://www.youtube.com/watch?v=5oHVY7xZx1o&ab_channel=MaranathaindonesiaOfficial 
Ku Tak Dapat Jalan Sendiri,Gloria Trio,2013,Maranatha Indonesia,Hymne,Melewati lembah duka semu Jalanku gelap dan ngeri Tuhanku perlu pertolonganmu Sebab ku tak dapat jalan sendiri Tiada orang yang menolong daku ku sangat lemah dan letih Jalanlah Tuhan dekat padaku Sebab ku tak dapat jalan sendiri Ku tak dapat jalan sendiri Tuhan tolonglah daku Biarlah sinarMu menerangiku Sebab ku tak dapat jalan sendiri,https://www.youtube.com/watch?v=enEbPI-8qWQ&ab_channel=MaranathaindonesiaOfficial 
Walau Ku Tak Dapat Melihat,"Grezia Epiphania, Jason, Agnes Chen",2014,Impact Music,Pop,"Ku sadar, tak semua, dapat aku miliki, di dalam hidupku,Hatiku percaya, rancanganMu bagiku adalah yang terbaik, Walau ku tak dapat melihat, semua rencanaMu Tuhan, Namun hatiku tetap memandang padaMu, Kau tuntun langkahku, Walau ku tak dapat berharap, atas kenyataan hidupku, Namun hatiku tetap, memandang padaMu, Kau ada untukku.", https://www.youtube.com/watch?v=bscu08w8wns&ab_channel=ImpactMusicIndonesia
Saya Mau Ikut Yesus,Herlin Pirena,2015,Maranatha Indonesia,Hymne,saya mau ikut Yesus sampai selama - lamanya saya mau ikut Yesus sampai selama - lamanya meskipun saya susah menderita dalam dunia saya mau ikut Yesus sampai selama - lamanya,https://www.youtube.com/watch?v=F_WB1Exj_S4&ab_channel=MaranathaindonesiaOfficial 
Doa Yabes,Angel Pieters,2017,Impact Music,Pujian dan Penyembahan,"Kiranya Engkau memberkati aku berlimpah-limpah dan memperluas daerahku, dan kiranya tangan-Mu menyertai aku, dan melindungi aku dari pada malapetaka, sehingga kesakitan tidak menimpa aku!", https://www.youtube.com/watch?v=JdCKCaKQVSU&ab_channel=ImpactMusicIndonesia
Ajarku MengenalMu,Nikita,2010,Maranatha,Pop,TAK ADA YANG KUDAMBAKAN SELAIN DIRIMU TAK ADA YANG KUINGINKAN HANYALAH ENGKAU AJARKU MENGENALMU BAWA KU LEBIH MENGENALMU PRIBADIMU YANG KURINDU AJARKU MENGENALMU AKU INGIN TINGGAL DALAM PELATARANMU AKU INGIN LEBIH DALAM DI HADIRATMU AJARKU MENGENALMU (3X), https://www.youtube.com/watch?v=4PSnlIjDZ-g&ab_channel=NikitA-Topic
Di Jalan 'ku Diiringi - Pop Rohani KK 510 - Live,"IGNITE GKI, GKI Pengampon",2024,Ignite GKI,Pop,"VERSE 1: Di jalanku diiringi, oleh Yesus Tuhanku. Apakah yang kurang lagi, jika Dia Panduku? Diberi damai sorgawi, asal imanku teguh. Suka duka dipakai-Nya untuk kebaikanku; suka duka dipakai-Nya untuk kebaikanku. VERSE 2: Di jalanku yang berliku dihibur-Nya hatiku; bila tiba pencobaan, dikuatkan imanku. Jika aku kehausan dan langkahku tak tetap, dari cadas di depanku datang air yang sedap; dari cadas di depanku datang air yang sedap. BRIDGE: Allah penghiburku, harapan dan kekuatanku. VERSE 3: Di jalanku nyata sangat kasih Tuhan yang mesra. Dijanjikan perhentian di rumah-Nya yang baka. Jika jiwaku membubung meninggalkan dunia, kunyanyikan tak hentinya kasih dan pimpinan-Nya; kunyanyikan tak hentinya kasih dan pimpinan-Nya. ENDING: kunyanyikan tak hentinya kasih dan pimpinan-Nya.", https://www.youtube.com/watch?v=i3D4Z4kojPg&ab_channel=IGNITEGKI
Terbesar dan mulia - Live,NDC Worship,2015,NDC Worship,Pop,Segenap hati aku memuji Segenap jiwa aku bernyanyi Karna rohMu ada dalamku Tuhan Kuangkat tanganku memuji Kuangkat suara dan bernyanyi Karna rohMu ada dalamku Tuhan Mari menari memuji Ungkapkan sukacita di hati Kau terbesar dan mulia Ajaib semua perbuatanMu Kau terbesar dan mulia Biarlah semua memujiMu Segenap hati aku memuji Segenap jiwa aku bernyanyi Karna rohMu ada dalamku Tuhan Kuangkat tanganku memuji Kuangkat suara dan bernyanyi Karna rohMu ada dalamku Tuhan Mari menari memuji Ungkapkan sukacita di hati Kau terbesar dan mulia Ajaib semua perbuatanMu Kau terbesar dan mulia Biarlah semua memujiMu Kini Mereka Tahu Kau terbesar dan mulia Ajaib semua perbuatanMu Kau terbesar dan mulia Biarlah semua memujiMu Kau terbesar dan mulia Ajaib semua perbuatanMu Kau terbesar dan mulia Biarlah semua memujiMu Biarlah semua memujiMu Biarlah semua memujiMu,https://www.youtube.com/watch?v=PAGEwvWDogQ&list=RDPAGEwvWDogQ&start_radio=1&ab_channel=NDCWorship-Topic 
Tuhan Melihat Hati,Citra Scholastika,2014,Impact Music,Pujian dan Penyembahan,ini hatiku menyembahMu tulus dan kagum padaMu Yesus ini hatiku tak sempurna perlu campur tanganMu dalam hidupku Reff: Hatiku mengasihiMu Hatiku mengasihiMu Hatiku ingin mengenalMu ingin mengertiMu Tuhan Kau lihat isi hatiku,https://www.youtube.com/watch?v=biFKs3gsXVc&ab_channel=ImpactMusicIndonesia 
Hai Mahkluk Semua,Trio Narwastu,2005,Pelita Utama,Hymne,"Hai mahkluk semua pujilah Tuhan kita Alleluia, alleluia, alleluia, pujilah keagunganNya Alleluia, alleluia, alleluia Alleluia bergaung diseluruh dunia, soraklah alleluia Alleluia, alleluia, alleluia, alleluia Nyanyilah bersama dengan iringan suling Alleluia, alleluia, alleluia, Pujilah Maha Tuhan Alleluia, alleluia, alleluia Alleluia bergaung nan merdu suaranya, soraklah alleluia Alleluia, alleluia, alleluia, alleluia", https://www.youtube.com/watch?v=a1mKaHR0xLo&ab_channel=PelitaUtama
Apapun Juga Menimpamu,Nikita,2010,Maranatha Indonesia,Hymne,Apa pun juga menimpamu Tuhan menjagamu Naungan kasih-Nya pelindungmu Tuhan menjagamu Tuhan menjagamu Waktu tenang atau tegang Ia menjagamu Tuhan menjagamu Bila menanggung beban berat Tuhan menjagamu Masa depanmu kelam pekat Tuhan menjagamu Tuhan menjagamu Waktu tenang atau tegang Ia menjagamu Tuhan menjagamu Dipelihara-Nya hidupmu Tuhan menjagamu Dan didengarkan-Nya doamu Tuhan menjagamu Tuhan menjagamu Waktu tenang atau tegang Ia menjagamu Tuhan menjagamu Ia menjagamu Tuhan menjagamu Tuhan menjagamu, https://www.youtube.com/watch?v=eLzmwUUCQ94&ab_channel=MaranathaindonesiaOfficial
Pakai Aku Tuhan,Mitha Talahatu,2018,ESE Video Official,Pujian dan Penyembahan,Datang pada Yesus. Minta apa yang diperlukan dari-Nya. Dia kan menjawab Dia berikan melebihi segalanya. Itu yang aku rasakan saat ku dating dan berdoa pada-Nya. Yang ku dapatkan kasih dari-Nya nyata dalam kehidupan ini. Sungguh aku merasa Kau slalu ada denganku dan sungguh ku merasa kasih sayang-Mu Tuhan. Dengan apa ku dapat balas semua kebaikan-Mu. Tak ada sesuatu yang dapat aku berikan sebagai persembahan yang berarti bagi-Mu. Ku srahkan hidup ini pakai aku Tuhan tuk melayani-Mu, https://www.youtube.com/watch?v=Q39f1zUBAnE&ab_channel=ESEVideofficial
Smua Baik,Franky Sihombing,2005,Maranatha,Pop,Dari semula T’lah Kau tetapkan Hidupku dalam tanganMu Dalam rencanaMu Tuhan Rencana indah T’lah Kau siapkan Bagi masa depanku Yang penuh harapan S’mua baik s’mua baik Apa yang t’lah Kau perbuat di dalam hidupku S’mua baik sungguh teramat baik Kau jadikan hidupku berarti Kau jadikan hidupku Kau jadikan hidupku Kau jadikan hidupku Berarti,https://www.youtube.com/watch?v=kahe6EeYIAE&ab_channel=FrankySihombing-Topic 
Ku Mau Iring Tuhan,Gretha Sihombing,2019,CMP Official,Pop,"Saat sunyi saat sepi,Ku merenung nasib ini Sesungguhnya hidup ini tak berarti Tanpa salib tuhan bersamaku. Sungguh aku menyesali Akan hidupku begini Ku abaikan kasih setiamu Hidup dalam dosa penuh nista Kali ini tuhan, ku mau iring tuhan Memikul salibmu dengan sejuta harapan Dunia kutinggalkan, dunia kulupakan Ku mau ikut bersamamu tuhan", https://www.youtube.com/watch?v=RF7H9-HDAa4&ab_channel=CMPOfficial
Bila Badai Hidup Menerpamu - Pop Rohani KK 635 - Live,"IGNITE GKI, GKI Pengampon",2024,Ignite GKI,Pop,Bila badai hidup menerpamu dan cobaan pun datang mengganggu hanya satu janji harapanmu ya janji Tuhanmu pegang teguh Biar gunung-gunung pun beranjak serta bukit-bukit pun bergoncang kasih dan setia dari Tuhan‘kan melindungimu tetap teguh Pegang selalu janji Tuhan jangan lepaskan walau siang atau malam enyahlah takut atau bimbang Tuhanlah pemilik hidupmu hidupmu.Biar gunung-gunung pun beranjak serta bukit-bukit pun bergoncang kasih dan setia dari Tuhan ‘kan melindungimu tetap teduh.‘Kan melindungimu tetap teduh., https://www.youtube.com/watch?v=Ej0MaV8tawo&ab_channel=IGNITEGKI
Berserah,Putri Siagian,2023,Media Berkat Nusantara,Pujian dan Penyembahan,Apa artinya dunia semua pasti musnah Harta jabatan hanyalah titipan semata Ikut firmanmu hanya padamu kuberserah Kini kutahu bapa kehendakmu Lewat firmanmu engkau menuntunku Percaya aku akan kuasamu Dengan kasimu kau hapus dosaku Kau Allah yang lebih mengenalku Tak tersembunyi aku dimatamu Walau dunia kan mengucilkanku Dengan kasimu kau angkat bebanku Kuyakin kebenaran firmanmu Nyata dari dalam hidupku Aku pecaya hanya kau allah kuasa,https://www.youtube.com/watch?v=FDcEhhoeS2w&ab_channel=HosanaChannel 
Bapa Yang Setia,Brenda,2008,Maranatha Indonesia,Penyembahan,Kau yang selalu mengasihiku dengan kasih yang kekal pengorbananMu membuatku merasa berharga dimataMu Kau yang selalu menyayangiku dengan kasih yang sungguh kehadiranMu membuatku mengerti arti kehidupanku Kau Tuhan adalah Bapa yang setia tiada sekalipun ku ditinggalkan penghiburan yang kurindukan selalu Kau sediakan s'lamanya kusembah Bapa yang setia tak kan Kau biarkan ku terpisahkan Yesus Kaulah sumber pertolonganku yang dapat ku percaya, https://www.youtube.com/watch?v=5zNQxGvBqnY&ab_channel=MaranathaindonesiaOfficial
Ujilah Aku Tuhan,Symphony Worship Family,2020,Symphony Worship,Pop,UJILAH AKU TUHAN COBALAH AKU TUHAN SELIDIKI BATINKU DAN HATIKU MATAKU TERTUJU PADAMU AKU CINTA PADAMU TUHAN AKU RINDU HADIRATMU TUHAN AKU INGIN SELALU DEKAT PADAMU MENIKMATI KEHADIRANMU KUNYANYI HOSANA BAGI RAJAKU YANG DUDUK DI TAHTA AKU MULIAKAN DAN KUAGUNGKAN KAU LAYAK DISEMBAH HOSANNA HOSANNA HOSANNA TO THE KING KUAGUNGKAN YESUS RAJA DIA BERKUASA DAN LAYAK DISEMBAH, https://www.youtube.com/watch?v=2bT5Rndlvjo&ab_channel=SymphonyWorshipFamily
Bapa Yang Mengasihiku,Regina Pangkerego,2019,Maranatha Indonesia,Pujian dan Penyembahan,Engkau Bapa yang mengasihiku Tak Kau pandang bentuk dan rupaku Engkau mengasihiku dengan sepenuh hati Tak pernah sama seperti dunia ini Engkau Bapa yang mengajariku Melewati badai langit biru Kau yang buatku terbang bagaikan rajawali Mengatasi segala pencobaan Kau Bapa ku yang baik. Mengerti bahasa tetesan air mata. Tak kau biarkan ku berjalan sendirian. Sbab kau Bapa ku yang baik,https://www.youtube.com/watch?v=tXCXoBd7jS0&ab_channel=MaranathaindonesiaOfficial 
Bapa Lembutkan Hatiku,Pdt. Dr. Ir. Niko Njotorahardjo,2010,Maranatha Indonesia,Pujian dan Penyembahan,"Bapa, lembutkanlah hatiku tuk dapat lebih mengasihiMu Bapa, bentuklah diriku untuk dapat menjadi saksiMu dan mengerti rencanaMu didalam hidupku jadikan aku semakin indah dihadapanMu t'rima kasih Yesus-ku t'rima kasih Yesus-ku puji syukur hanya bagi Tuhan-ku",https://www.youtube.com/watch?v=q-ivZglSRp8&ab_channel=MaranathaindonesiaOfficial 
Seperti Yang Kau Ingini,Nikita,2004,Maranatha Indonesia,Pujian dan Penyembahan,Bukan dengan barang fana Kau membayar dosaku dengan darah yang mahal tiada noda dan cela Bukan dengan emas perak Kau menebus diriku oleh segenap kasih dan pengorbanan Mu ku telah mati dan tinggalkan cara hidupku yang lama semuanya sia - sia dan tak berarti lagi hidup ini kuletakkan pada mezbah Mu ya Tuhan jadilah padaku seperti  yang Kau ingini,https://www.youtube.com/watch?v=D2Cwedj0dzA&ab_channel=MaranathaindonesiaOfficial 
Pada Kaki Salib-Mu,Herlin Pirena,2001,Maranatha Indonesia,Hymne,"Pada kaki salibMu, Yesus, ku berlindung, Air hayat Golgota pancaran yang agung. SalibMu, salibMu yang ku muliakan Hingga dalam sorga k'lak ada perhentian.Pada kaki salibMu kasihMu ku t'rima, Sinar Bintang Fajar terang, yang memberi cahaya.", https://www.youtube.com/watch?v=wnx1myqudGY&ab_channel=MaranathaindonesiaOfficial
IkutMu,Melitha Sidabutar,2021,Impact Music,Pujian dan Penyembahan,Saatku tahu semua hilang Dan tak tahu kemana arah jalan pulang Namun kusadari bahwa aku tak setia Ku menduakan kasih-Mu Kau berkata kumilik-Mu Namun kusakiti Engkau sekian kali Kau tetap memilih aku Meski kutak layak Kau mengasihiku Ku mau ikut Yesus Ku mau ikut Yesus Kuberikan hidupku Ku mau ikut Yesus Ku mau iring Yesus S'panjang jalan hidupku Yesus Kau Rajaku, https://www.youtube.com/watch?v=a2voyKJ5cCU&ab_channel=ImpactMusicIndonesia
Ku Heran Allah Mau Memberi,Gloria Trio,2013,Maranatha Indonesia,Hymne,ku heran Allah mau memberi RahmatNya padauk dan Kristus sudi menebus yang hina bagaiku namun ku tahu yang kupercaya dan aku yakin kan kuasaNya Ia menjaga yang kutaruhkan hingga harinya kelak ku heran oleh RahmatNya hatiku beriman dan oleh kuasa SabdaNya jiwaku pun tentram ku heran oleh Roh Kudus ku sadar dosaku dan dalam firman kukenal siapa penebus,https://www.youtube.com/watch?v=ODNZ9Jvxt0o&ab_channel=MaranathaindonesiaOfficial
Tuhanku yang hebat - Live,NDC Worship,2015,NDC Worship,Pop,"Kau yang hidup di dalamku Menjadikanku lebih dari pemenang Seluruh bumi tinggikan nama-Mu Menyatakan kebesaran dan keagungan-Mu Yesus Tuhanku pemenang, Raja segala raja Perbuatan-Mu ajaib dan perkasa Kaulah Tuhanku yang hebat, kuasa iblis dikalahkan Surga bumi bersorak",https://www.youtube.com/watch?v=xO65ppW68e4&ab_channel=NDCWorship 
Kunaikkan Syukurku - Live,NDC Worship,2019,NDC Worship,Pop,Kasih yang begitu besar Lebih kuat dari dosa Kasih yang menemukanku Slamatkan dan pulihkanku Kunaikkan syukurku Ku tak akan berhenti Memuji meninggikan namaMu Selalu menari memuliakanMu Dibebaskan dibangkitkan Hidup yang Kau bri dan kini Hanya untukMu,https://www.youtube.com/watch?v=oU7Yj7vYIS4&ab_channel=NDCWorship 
Menjulang Nyata,UNDVD,2024,UNDVD,Pop,"Verse 1: Menjulang nyata atas bukit kala T’rang benderang salib-Mu, Tuhanku Dari sinarnya yang menyala-nyala Memancar kasih agung dan restu Chorus 1:Seluruh umat insan menengadah Ke arah cah’ya kasih yang mesra Bagai pelaut yang karam merindukan Di ufuk timur pagi merekah Verse 2: Salib-Mu, Kristus, tanda pengasihan Mengangkat hati yang remuk redam Membuat dosa yang tak terperikan Di lubuk cinta Tuhan terbenam Chorus 2: Di dalam Tuhan kami balik lahir Insan bernoda kini berseri Terkuras darah suci yang mengalir Di salib pada bukit Kalvari",https://www.youtube.com/watch?v=KwuC34ab9-I&ab_channel=UNDVD 
Ingat KasihNya,Symphony Worship,2023,Symphony Worship Family,Pujian dan Penyembahan,"Verse: Begitu besar kasihMu Bapa Kau b'rikan anakMu yang tunggal Di saat aku percaya Kasih menyelamatkanku Bukan sebagai hakim dunia Tapi peny'lamat yang berkorban Untuk diriku Kau tebusku Kasih menyelamatkanku Chorus: Ingat kasihNya yang mengubah hidupku Ingat kasihNya yang selalu ada Kasih Yesus, Kasih Yesus Bagiku Ingat bilurNya yang sembuhkan lukaku Ingat salibNya yang menebus aku Kasih Yesus, kasih Yesus Bagiku Bridge: KasihMu bebaskanku Lepaskan dari belenggu dosaku DarahMu sucikanku Hanya Yesus Hanya Yesus",https://www.youtube.com/watch?v=9-JVK5arejY&ab_channel=SymphonyWorshipFamily 
Kasih Bapa,Judika,2014,Impact Music,Pop,"seperti mentari yang bersinar,seperti itu kasih Bapa, seperti gelombang Samudra, takkan pernah berhenti Kau mengasihiku. seperti tingginya langit biru, demikian tinggi kasih Bapa, sedalam lembah bayang maut, demikian dalam Kau tebus hidupku. Reff: kasihMU lebih dari mentari, yang tak pernah berhenti memancarkan sinarnya. cintaMU lebih dari samudera, tenggelam ku di dalam kesetiaanMU Tuhan, terima kasih atas cintaMU. Kau mengasihiku. Kau mengasihiku. Kau mengasihiku. terima kasih Tuhan,Kau mau tebus hidupku,terima kasih atas cintaMU.",https://www.youtube.com/watch?v=YN27ayiOMVY&ab_channel=ImpactMusicIndonesia 
Bejana-Mu,Natasha Midori,2016,Maranatha Indonesia,Pujian dan Penyembahan,"Kekuatan di jiwaku Ketenangan batinku Ada dalam hadirat-Mu Kumenyembah-Mu Tersungkur 'ku dikaki-Mu Rasakan hadirat-Mu Takkan 'ku melepaskan-Mu Kau cahaya bagiku Mengiring-Mu seumur hidupku Masuk dalam rencana-Mu Bapa Pikiranku, kehendakku Kuserahkan pada-Mu Harapanku hanya di dalam-Mu Ku kan teguh bersama-Mu Tuhan Jadikanku, bejana-Mu Untuk memuliakan-Mu", https://www.youtube.com/watch?v=4BZAopOTxdU&ab_channel=MaranathaindonesiaOfficial
Allah Peduli,Mike Mohede,2014,Impact Music,Pop,"Banyak perkara Yang tak dapat kumengerti Mengapakah harus terjadi Didalam kehidupan ini Satu perkara Yang kusimpan dalam hati Tiada satupun kan terjadi Tanpa Allah perduli Reff: Allah mengerti, Allah perduli Segala persoalan yang kita hadapi Tak akan pernah dibiarkannya ku bergumul sendiri.", https://www.youtube.com/watch?v=lvMCrjoSFeE&ab_channel=ImpactMusicIndonesia
Sejauh Timur Dari Barat,Nikita,2014,Maranatha Indonesia,Pujian dan penyembahan,Sejauh timur dari barat Engkau membuang dosaku Tiada Kau ingat lagi kesalahanku Jauh ke dalam tubir laut Kau melemparkan dosaku Tiada Kau perhitungkan pelanggaranku Betapa besar kasih pengampunanMu Tuhan Tak Kau pandang hina hati yang hancur Ku berterima kasih kepadaMu ya Tuhan Pengampunan yang Kau beri pulihkanku, https://www.youtube.com/watch?v=ZwXm-KxuBKI&ab_channel=MaranathaindonesiaOfficial
KasihMu Tiada Duanya,Nikita,2004,Maranatha,Pujian dan Penyembahan,Belum pernah ada kasih di dunia Sanggup menerima diriku apa adanya Selain kasihMu Yesus Takkan ada lagi kasih s’perti ini Sanggup mengubahkan hidupku Menjadi baru selain kasihMu Yesus. Kau kukagumi dalam hati KasihMu tiada duanya Sampai kini kuakui KasihMu tiada duanya. Tiada duanya (2x),https://www.youtube.com/watch?v=a9ICULZyvq0&ab_channel=NikitA-Topic
Tuhan Kau Gembala Kami,Marsya Manopo,2019,Maranatha Indonesia,Hymne,"Tuhan, Kau Gembala kami, tuntun kami, dombaMu; b’rilah kami menikmati hikmat pengurbananMu. Tuhan Yesus, Jurus’lamat, kami ini milikMu, Tuhan Yesus, Jurus’lamat, kami ini milikMu.",https://www.youtube.com/watch?v=oWsL0XkXswk&ab_channel=MaranathaindonesiaOfficial
Hujan Berkat Kan Tercurah,John Tanamal,2009,Maranatha Indonesia,Hymne,"Hujan berkat ‘kan tercurah,itulah janji kudus hidup segar dari sorga ‘kan diberi Penebus. Hujan berkatMu itu yang kami perlu sudah menetes berkatMu, biar tercurah penuh Hujan berkat ‘kan tercurah; kami menantikannya. Hati lelah kami buka, Yesus, Kau isi segera", https://www.youtube.com/watch?v=mpNVtXYhe_Y&ab_channel=MaranathaindonesiaOfficial
Di Jalanku Diiring,John Tanamal,2009,Maranatha Indonesia,Hymne,"Dijalan aku diiring oleh Yesus Tuhanku apakah yang kurang lagi jika Dia panduku diberi damai sorgawi asal imanku teguh suka duka dipakainya untuk kebaikanku dijalan yang berliku, dihiburnya hatiku bila tiba pencobaan, dikuatkan imanku jika aku kehausan dan langkahku tak tetap dari cadas didepanku datang air yang segar", https://www.youtube.com/watch?v=nQyrvzcLd_A&ab_channel=MaranathaindonesiaOfficial
Jika Jiwaku Berdoa,Victor Hutabarat,2008,Maranatha Indonesia,Hymne,Jika jiwaku berdoa kepadaMu Tuhanku ajar aku terima saja pemberian tanganMu dan mengaku seperti Yesus didepan sengsaraNya Jangan kehendakku Bapa  kehendakMu jadilah apa juga yang Kau timbang baik untuk hidupku biar akupun setuju dengan maksud hikmatMu menghayati dan percaya walau hatiku lemah aku cari penghiburan hanya dalam kasihMu dalam susah Dikau saja perlindungan hidupku ku mengaku seperti Yesus didepan sengsaraNya,https://www.youtube.com/watch?v=EvqQn2vUHwI&ab_channel=MaranathaindonesiaOfficial 
Bapa Engkau Baik,Shinta Rosari,2017,Maranatha Indonesia,Gospel,Bapa Engkau baik Bapa Engkau baik Kau selalu baik kepadaku Bapa ku cinta Kau aku memujiMu aku menyembahMu kunyanyi Haleluya Bapa ku cinta Kau,https://www.youtube.com/watch?v=qPKZPKneqSU&ab_channel=MaranathaindonesiaOfficial 
Jangan Pernah Menyerah,"Edward Chen, Justin Faith Chen",2015,Unknown,Pop Kontemporer,"Bapa Engkau baik Bapa Engkau baik Kau selalu baik kepadaku Bapa ku cinta Kau aku memujiMu aku menyembahMu kunyanyi Haleluya Bapa ku cinta Kau Tuhan tak pernah janji, langit selalu biru.Tetapi Dia berjanji, selalu menyertai. Tuhan tak pernah janji, jalan selalu rata. Tetapi Dia berjanji, berikan kekuatan. Jangan pernah menyerah, jangan berputus asa. Mujizat Tuhan ada, saat hati menyembah. Jangan pernah menyerah, jangan berputus asa. Mujizat Tuhan ada, bagi yang setia dan percaya.",https://www.youtube.com/watch?v=2b7GyljOV88&ab_channel=EdwardChen%E9%99%B3%E5%9C%8B%E5%AF%8C 
Sujud & Terima Kasih,JCC Worship,2022,Impact Music,Pujian dan Penyembahan,Kasih Tuhan sungguh mulia Tulus dan sempurna mengasihiku Pengorbanan di Kalvari Sungguh berharga Kau tebus dosaku Terpujilah Tuhan Yesus Ditinggikan diatas pujian Dari dalam lubuk hatiku Kusujud dan bert'rima kasih Kasih Tuhan tak bersyarat Tak seperti cinta yang ada di dunia S'lalu memb'ri lebih dari yang layak kuterima di hidupku Salib-Mu kemenanganku Bilur-Mu kesembuhanku Salib-Mu kemenanganku Bilur-Mu kesembuhanku,https://www.youtube.com/watch?v=D-EoEJLx2zo&ab_channel=ImpactMusicIndonesia 
Gembala Baik Bersuling Nan Merdu,Herlin Pirena,2014,Maranatha Indonesia,Hymne,Gembala baik bersuling nan merdu membimbing aku pada air tenang dan membaringkan aku berteduh di padang rumput hijau berkenan O gembalaku itu Tuhanku membuat aku tent'ram hening mengalir dalam sungai kasihku kuasa damai cerlang bening kepada domba haus dan lesu gembala baik memb'rikan air segar ke dalam hati haus dan sendu dib'rinya air hidup yang benar,https://www.youtube.com/watch?v=ZCHZ9Hxkxlc&ab_channel=MaranathaindonesiaOfficial 
Haleluya,Mitha Talahatu,2016,Unknown,Pop Kontemporer,MENYEMBAHMU KEWAJIBANKU MELAYANIMU ITU NAZARKU MEMUJIMU YESUS SETURUT NAFASKU S'BAB KAU TUHAN S'BAB KAU RAJA VERSE 2: MENGIKUTIMU ITU HIDUPKU KEMENANGANKU ADA BERSAMAMU KARNA KU TAHU DAN KU TAKKAN RAGU S'BAB KAU TUHAN S'BAB KAU RAJA CHORUS: SELAYAKNYA HAMBAMU NAIKKAN SYUKUR DAN SEMBAH S'BAB KAU HEMPAS DOSA PELANGGARANKU TAK KAU BIAR KU JATUH DAN MALU KU BERSORAK HALELUYA NYANYI KAN HALELUYA BERMAZMUR HALELUYA HALELUYA,https://www.youtube.com/watch?v=3NUMGk7-nWA&ab_channel=MCPSYSILIARAPMOLLUCANLABRAK 
Pembimbingku,Vicky Salamor,2019,VAW,Gospel,Ketika ku terjatuh Tak ada yang mau mengangkatku Di jurang yang begitu dalam Sungguh ku tak sanggup Tak mampu ku berjalan Liku-liku kehidupanku Ku pasrah pada belenggu Terbuai luka masalalu Hari-hari berlalu Minggu-minggu berganti Semakin ku sadar tiap waktu Kau perhatikanku Tanpa Kau Tuhan Ku tak berarti Hanya Kau Tuhan Yang mengerti pribadiku Segala perkara Dapat ku pikul kekhawatiran telah menjauh Dari hidupku,https://www.youtube.com/watch?v=cyx60IFavO4&ab_channel=VickySalamor 
Kau Berarti Bagiku,Regina Pangkerego,2011,Maranatha Indonesia,Pujian dan Penyembahan,Bapa kurindu bersekutu denganMu ku ingin selalu bersamaMu untuk menikmati kuasa kasihMu ajari aku tuk mengerti semua rencanaMu yang indah bagiku agar ku layak menjadi anakMu ku ingin mengucap syukur ya Allahku dalam setiap waktu Kaulah harapanku ku ingin menyenangkanMu ya Allahku dalam setiap pujianku Kau Bapa yang baik Kau sungguh berarti bagiku,https://www.youtube.com/watch?v=DGlu0c5H33Q&ab_channel=MaranathaindonesiaOfficial 
Kebaikan Tuhan,Vicky Salamor,2023,Mighty Music,Pop Kontemporer,Sungguh besar kebaikanMu Yang Kau nyatakan bagiku Kau ubah hidupku baharui hatiku Seturut kehendakMu Bahkan telah Kau sediakan Apapun yang kuperlukan Engkau buat hidupku terkagum-kagum akan Semua kebaikanMu Sungguh… Sungguh ku berterima kasih Tuhan Buat anugerahMu Dan kemurahan di dalam hidupku Sungguh… Tak terlukiskan indah rencanaMu Sebab itu ku bersyukur Hidupku aman di dalam tanganMu Bahkan telah Kau sediakan Apapun yang kuperlukan Engkau buat hidupku terkagum-kagum akan Semua kebaikanMu Sungguh… Sungguh ku berterima kasih Tuhan Buat anugerahMu Dan kemurahan di dalam hidupku Sungguh… Tak terlukiskan indah rencanaMu Sebab itu ku bersyukur Hidupku aman di dalam tanganMu Sungguh… Sungguh ku berterima kasih Tuhan Buat anugerahMu Dan kemurahan di dalam hidupku Sungguh… Tak terlukiskan indah rencanaMu Sebab itu ku bersyukur Hidupku aman di dalam tanganMu Sebab itu ku bersyukur Sebab itu ku bersyukur Hidupku aman di dalam tanganMu,https://www.youtube.com/watch?v=84SdFD5tGQI&ab_channel=MightyMusic
